sy	wilcox_p	wilcox_p2	log2foldchange	lab	show
RP11-164C1.2	0.288175633383966	0.29	0.294595434521252	no	no
LARP4B	0.0179212367196174	0.018	0.663384570942681	no	no
RP11-363N22.2	0.115658937944587	0.12	0.655440631503706	no	no
RP11-363N22.3	0.0009010929448244	9e-04	1.57916318790058	up	no
GTPBP4	0.00170826169534595	0.0017	0.951213421585177	no	no
IDI2	0.0757676711834724	0.076	0.868265101642714	no	no
IDI2-AS1	0.440172046743713	0.44	1.04006313033733	no	no
IDI1	0.077081563486748	0.077	0.5181309553371	no	no
WDR37	0.0575222939964668	0.058	0.486418847948582	no	no
LINC00200	0.402783694246476	0.4	0.936941216128074	no	no
ADARB2	0.0886668828144011	0.089	0.388710136322748	no	no
RP11-29A19.3	0.00316657754750495	0.0032	1.77742113522431	up	no
RP11-29A19.2	0.186327080536427	0.19	0.46308543500427	no	no
RP11-398B16.2	0.401735637055398	0.4	-0.290487346585733	no	no
ADARB2-AS1	0.0564418104083592	0.056	0.837483093601047	no	no
LINC00700	0.117940144029158	0.12	0.0942890706753094	no	no
RP11-69C17.2	0.872600060989729	0.87	0.472832380807433	no	no
LINC02662	0.288175633383966	0.29	0.460700210174122	no	no
LINC00701	0.445088381986749	0.45	0.989395422371582	no	no
LINC02645	0.406520982090715	0.41	1.34445797527135	no	no
RP11-526P5.2	0.117940144029158	0.12	1.27300540864251	no	no
RP11-118K6.5	0.0357378615094984	0.036	-1.27020341220017	down	no
PFKP-DT	0.440172046743713	0.44	0.0416839483594575	no	no
PFKP	0.101574807936807	0.1	0.558724693401644	no	no
RP11-298E9.7	0.288175633383966	0.29	0.270888348533929	no	no
PITRM1	0.0456621220209066	0.046	0.689456131426016	no	no
PITRM1-AS1	0.027908175037836	0.028	0.939903557189971	no	no
RP11-298E9.5	0.213954526479435	0.21	-1.05859772962047	no	no
LINC02668	0.0286559281999516	0.029	1.43253881784241	up	no
RP11-195B3.1	0.445088381986749	0.45	0.322660260842881	no	no
RP11-195B3.3	0.189443673173821	0.19	0.604796145628304	no	no
RP11-195B3.2	0.401735637055398	0.4	-0.102475418705457	no	no
RP11-453F1.1	0.0501275086717424	0.05	0.391168737943066	no	no
LINC02669	0.126385091817402	0.13	0.810274169480228	no	no
RP11-482E14.2	0.436668405598091	0.44	0.0300882647239349	no	no
RP11-184A2.3	0.981621503364844	0.98	0.0776943479718031	no	no
KLF6	0.262009234313215	0.26	0.491741631667067	no	no
RP11-464C19.4	0.714951777662946	0.71	-0.0907683728101176	no	no
LINC02660	0.765084001834143	0.77	0.0886796875841235	no	no
RP11-433J20.2	0.936095390960732	0.94	-0.000357832185264647	no	no
RP11-433J20.1	0.463823135819794	0.46	0.00588669325714626	no	no
LINC00702	0.741302403279195	0.74	0.14045656569014	no	no
LINC00703	0.117940144029158	0.12	0.214804289788637	no	no
RP11-34C15.2	0.117940144029158	0.12	0.369823835643398	no	no
RP11-34C15.4	0.288175633383966	0.29	0.108041933562077	no	no
RP11-34C15.3	0.41190396250109	0.41	0.566021536307055	no	no
MANCR	0.487450887816609	0.49	0.196220941395141	no	no
LINC00705	0.0761555360594609	0.076	0.292626189705281	no	no
RP11-396D16.1	0.936095390960732	0.94	-0.0361209523692267	no	no
AKR1E2	0.186156938004757	0.19	0.746062734056926	no	no
AKR1C6P	0.445088381986749	0.45	0.169108775715625	no	no
AKR1C1	0.00603827835733704	0.006	-1.55352284959535	down	no
AKR1C2	0.440172046743713	0.44	-1.20873461179772	no	no
RP11-499O7.7	0.743357699955187	0.74	-0.18563807535686	no	no
AKR1C3	0.00671173841875019	0.0067	-0.958889487971445	no	no
AKR1C8P	0.401735637055398	0.4	-0.0607418387056573	no	no
AKR1C4	0.80988461706675	0.81	0.155400993013974	no	no
ARL4AP3	0.288175633383966	0.29	0.597627999351789	no	no
RP11-445P17.9	0.936095390960732	0.94	-0.245061685657606	no	no
LINC02561	0.118651405915017	0.12	-0.620598467288931	no	no
AKR1C7P	0.936095390960732	0.94	0.0456500906455836	no	no
UCN3	0.137262567377329	0.14	0.789893834435833	no	no
TUBAL3	0.0597001967147104	0.06	-0.639384516724494	no	no
NET1	0.498414930252522	0.5	0.103669271140747	no	no
CALML3-AS1	0.655481091347733	0.66	-0.0215636421956704	no	no
RP11-116G8.7	0.278348465090943	0.28	0.406084259688459	no	no
RP11-116G8.8	0.681954497427307	0.68	0.0698252318652351	no	no
LASTR	0.438678333016334	0.44	-0.132482123932479	no	no
RP11-336A10.7	0.314777143812632	0.31	0.374829871018322	no	no
ASB13	0.00310429214667797	0.0031	0.86920241925108	no	no
TASOR2	0.00276365181218258	0.0028	0.927373850687725	no	no
RP11-336A10.2	0.614950059603389	0.61	0.405812386958342	no	no
GDI2	0.077081563486748	0.077	0.450854391786609	no	no
NRBF2P5	0.260589034273618	0.26	0.454849280812542	no	no
RP11-318E3.9	0.010818770609046	0.011	1.07855205761981	up	no
ANKRD16	0.00825722523488441	0.0083	0.669631610181141	no	no
FBH1	0.0214738582774679	0.021	0.608702680691182	no	no
RP11-536K7.3	0.648328991077541	0.65	-0.0784958676566523	no	no
IL15RA	0.368789713535367	0.37	-0.783003978646413	no	no
IL2RA	0.0768669724221256	0.077	-2.35616672769601	no	no
ENSG10010138241.1	0.872600060989729	0.87	0.328227190045038	no	no
RP11-536K7.5	0.0824293921140831	0.082	1.20604214220764	no	no
RBM17	0.027908175037836	0.028	0.46253836963865	no	no
PFKFB3	0.625832791427982	0.63	-0.554540731238754	no	no
RN7SKP78	0.981621503364844	0.98	0.154318415140416	no	no
MIR3155A	0.401735637055398	0.4	-1.53162644648381	no	no
RP11-414H17.5	0.539349703261296	0.54	0.492936086375397	no	no
LINC02649	0.0886668828144011	0.089	-0.753868787547643	no	no
SDCBPP1	0.30864744901222	0.31	-0.643428085460164	no	no
LINC02656	0.0619885900001061	0.062	-0.724380681620276	no	no
PRKCQ	0.0949499508961713	0.095	0.498934470945957	no	no
PRKCQ-AS1	0.00744968236725205	0.0074	0.732743660199981	no	no
LINC02648	0.0219943790123164	0.022	1.20800086138645	up	no
LINP1	0.406520982090715	0.41	0.0455014688374518	no	no
LINC00706	0.269133778172309	0.27	0.60642293107922	no	no
LINC00707	0.717648464978405	0.72	-0.0154069334319626	no	no
RP11-799O21.2	0.0103789697881048	0.01	-1.50976410115159	down	no
RP11-393K12.4	0.485661089668837	0.49	0.300379784052878	no	no
SFMBT2	0.560414292745471	0.56	-0.28488792578422	no	no
COX6CP17	0.936095390960732	0.94	-0.983715964020708	no	no
RP5-1031D4.3	0.108552093969253	0.11	-0.690461326787929	no	no
LINC02642	0.961615290369811	0.96	0.0999339120358909	no	no
RNU6-535P	0.981621503364844	0.98	-0.319713055120011	no	no
