ecludiean distance,beta_value,MYC_cnv,cg00163372,cg08526705,DNMT3A,TRRAP,EP400,intercept
0.20879099604467918,1e-06,0.022098548643135082,0.06488464358144347,0.08109303855551761,0.16828595717337635,0.2043823315908396,0.1850749545589717,0.19700573873003202
0.20879118587046022,1e-05,0.022099588900716612,0.06488407369464272,0.08109159131090189,0.16828163811481694,0.20437597491796233,0.18507008556947707,0.19701544190552622
0.20879308981392958,0.0001,0.02210998587827258,0.0648783749733413,0.0810771224131935,0.16823846091064867,0.20431242952773654,0.18502141093294372,0.1971124446426505
0.20906166401133322,0.01,0.023193507519187567,0.06425312599608642,0.07952372484249581,0.1636328538039843,0.19755185641690107,0.1798312530632307,0.20747070594661576
0.20909485369636086,0.011,0.023296560147308968,0.06419014583348547,0.07937088330190796,0.16318295486630446,0.1968933836077067,0.17932445306690578,0.2084837808902139
0.2091290696568771,0.012,0.02339848475073763,0.06412719798474119,0.07921876124032619,0.16273576177126864,0.1962392234276877,0.1788207374457704,0.20949098640219393
0.20916429153268504,0.013,0.023499292337990585,0.06406428249018878,0.07906735219219153,0.1622912493335197,0.19558933542803375,0.17832007739577174,0.21049237688864303
0.2092004993386156,0.014,0.02359899380237575,0.06400139940379711,0.07891664977899078,0.16184939267822415,0.19494367964335182,0.1778224444679319,0.21148800607585222
0.20923767345728747,0.015,0.023697599923246358,0.0639385487926378,0.07876664770777858,0.16141016723641197,0.19430221658476265,0.17732781056302424,0.2124779270207257
0.20927579463201346,0.016,0.023795121367242038,0.06387573073636925,0.07861733976972875,0.1609735487403975,0.1936649072331105,0.17683614792634264,0.21346219212100614
0.2093148439598474,0.017,0.023891568689516512,0.06381294532673537,0.07846871983871327,0.16053951321928045,0.19303171303228533,0.17634742914256168,0.2144408531253182
0.20935480288477248,0.018,0.02398695233495259,0.06375019266707882,0.07832078186990914,0.16010803699452436,0.1924025958826543,0.1758616271306856,0.21541396114303396
0.20939565319102585,0.019,0.024081282639363755,0.06368747287186798,0.07817351989843224,0.15967909667561164,0.19177751813460087,0.17537871513908487,0.21638156665396524
0.2144795186832173,0.1,0.028997057827833288,0.05873763427026395,0.0680616068781698,0.1316495362695201,0.15179913709489692,0.14390820449975872,0.280159770831397
0.2220569083310128,0.2,0.03066042378628751,0.053111654627732985,0.05891478312874044,0.10882745201164537,0.1208783348172449,0.11844046403111712,0.3331175284954237
0.23051264831902674,0.3,0.03755373463858943,0.05233801260924667,0.05347648633556582,0.09024227221664032,0.09161611065221385,0.09762153246748044,0.3738144831993123
0.23610498278724004,0.4,0.03447884449977256,0.04704981032625103,0.04769951741835119,0.07949596379126395,0.07979860970806087,0.08581682916213715,0.40044589377356743
0.24098811182709443,0.5,0.03182849024715203,0.04273551415352572,0.04306009929971933,0.07104954965929021,0.07066197059040644,0.07656856551486302,0.42148073904737704
0.24523000782386892,0.6,0.029531954127880587,0.03914737441937149,0.039249489483461325,0.06423360220605663,0.06339154465948126,0.0691258455210488,0.4385246927605432
0.24892220066685192,0.7,0.027529064212381545,0.03611567729324822,0.036062284966697944,0.05861609158233754,0.057471021165496544,0.06300593062949333,0.4526204220048787
0.25215137375801855,0.8,0.02577047708838167,0.03352001801932811,0.033356217292561975,0.053905569051877086,0.05255778016279495,0.05788428914687519,0.4644751734473426
0.25492093834521,0.9,0.0230996105359275,0.030564648815088365,0.030701720522160133,0.050095499669163226,0.04948556509983182,0.05378341495685374,0.47461187315582803
0.25744705711077315,1.0,0.021939537347533948,0.028742357164967505,0.028748100308737347,0.046612094508894406,0.04574376758811257,0.05000054779820914,0.483316965043507
