ecludiean distance,beta_value,E2F1_cnv,cg24088408,cg01116321,cg00509772,E2F2,E2F7,BRCA1,intercept
0.1651611385816566,1e-06,0.09136793823874326,0.009468346888558377,0.07169434617656545,0.08793116980506867,0.2424254297452616,0.23902415460442963,0.22330405488668484,0.04985847839802815
0.16516123793023346,1e-05,0.09136392271598708,0.00946908786836415,0.0716924704355116,0.08792949954922023,0.2424161799616876,0.23901489565693756,0.22329685750793435,0.04987747548287991
0.1651622501964444,0.0001,0.09132378723180495,0.009476489702950303,0.07167371752036267,0.0879127970222393,0.2423237224104806,0.2389223470393501,0.22322490933872682,0.05006737228430558
0.1654659455300582,0.01,0.08711766373218165,0.010207965787912174,0.06966005094968071,0.08607866193661387,0.23258116100680712,0.22917566024103078,0.21558487474011903,0.07016635153930872
0.16551598103301804,0.011,0.0867146208173069,0.010273380619712832,0.06946197581137607,0.08589405225243042,0.2316419740226721,0.22823665292511391,0.21484220755444555,0.07211325308718664
0.1655692264608714,0.012,0.08631535763121766,0.010337360942678842,0.06926485930715728,0.0857096189257503,0.23071060675319882,0.2273055649353257,0.2141046484206973,0.07404557601135431
0.1656256015087152,0.013,0.08591982117860691,0.010399934867120396,0.06906869670493555,0.08552537461269206,0.22978695911304017,0.22638229389224968,0.21337214380350167,0.07596348893560445
0.16568502761649406,0.014,0.08552795944290867,0.01046112989053249,0.06887348325845785,0.08534133155860184,0.228870932754015,0.22546673920567717,0.21264464094440122,0.07786715778806064
0.16574742793258265,0.015,0.08513972136407147,0.010520972912707,0.06867921420892069,0.08515750160964008,0.2279624310270721,0.22455880203527365,0.21192208784691438,0.07975674585705639
0.16581272727806975,0.016,0.08475505681692677,0.010579490250426602,0.0684858847865257,0.08497389622403166,0.22706135894525667,0.2236583852522841,0.2112044332619643,0.0816324138455794
0.1658808521117312,0.017,0.08437391659013399,0.010636707651753553,0.06829349021197925,0.08479052648299136,0.2261676231476467,0.22276539340224308,0.2104916266736658,0.08349431992432688
0.16595173049568285,0.018,0.08399625236568406,0.010692650309925607,0.06810202569793772,0.08460740310133312,0.22528113186423093,0.22187973266866104,0.20978361828545877,0.08534261978341184
0.16602529206169978,0.019,0.08362201669894533,0.010747342876870994,0.06791148645039967,0.08442453643777387,0.22440179488170006,0.22100131083765498,0.20908035900657782,0.08717746668276272
0.17661039013303617,0.1,0.061549912988825235,0.012561288419054092,0.05512551964116812,0.07096472706765339,0.17083683778413775,0.16766921888795477,0.1644102257099914,0.20172474471268204
0.19130208030937793,0.2,0.046546595206837627,0.01202084555423314,0.04448493322660805,0.05845424176183063,0.13228107731829492,0.12950545566385374,0.13003572301069763,0.28754397943800325
0.2032807622372131,0.3,0.036670858393453264,0.011973822378278601,0.037788845402419,0.05079356233375947,0.10722956659309352,0.10473131101723862,0.1081072735093437,0.34268579714913106
0.21249497738280332,0.4,0.030901461115370957,0.01048429249764587,0.032294407139377215,0.043555653575522824,0.09086183495188287,0.0886713764565623,0.09199048643971651,0.3814299111646605
0.21973361636152222,0.5,0.02669903628741675,0.00931364851224705,0.028194304187453206,0.038119871510218194,0.07883038670358757,0.07688265028988713,0.08005729928583336,0.4100399871377864
0.22552368274261747,0.6,0.023501960434849003,0.008372878755394579,0.025017695413699532,0.03388861571945573,0.06961326664536213,0.06786103503128622,0.07086542401809051,0.43203343739139766
0.23024190028036948,0.7,0.020988215056481144,0.007601866697587187,0.022484232236419755,0.03050189051154823,0.062326256156521945,0.060734514292384835,0.06356736233235555,0.4494682598311968
0.23415229382215255,0.8,0.01895997807361826,0.00695922062503021,0.020416590438249376,0.027730019983316638,0.05642047659011179,0.05496266999305956,0.05763239218845413,0.46362897154057847
0.2374417873577299,0.9,0.017289036195222176,0.006415746428906996,0.01869713527255631,0.02541962266760157,0.05153716901761811,0.05019273849823611,0.052711186890665125,0.47535884442562776
0.24024513826465135,1.0,0.015888653310166437,0.005950358375625227,0.017244759441837034,0.02346438356731934,0.0474319305981089,0.04618466162055317,0.04856440638132462,0.48523441510889775
