"","Targets","Regulator","Coefficient","type","Rank","Correlation_EXP"
"1"," E2F1","BRCA1","0.209080359006578","tf","3",0.718400837759462
"2"," E2F1","cg00509772","0.0844245364377739","cpg","4",-0.536302603643908
"3"," E2F1","cg01116321","0.0679114864503997","cpg","6",-0.392669197378868
"4"," E2F1","cg24088408","0.010747342876871","cpg","7",-0.282537884095051
"5"," E2F1","E2F1_cnv","0.0836220166989453","cnv","5",0.304080154947072
"6"," E2F1","E2F2","0.2244017948817","tf","1",0.779661501515273
"7"," E2F1","E2F7","0.221001310837655","tf","2",0.726241219951758
