count	HOX	int	gene	CPM	SID	Group
1429	HOXA	4	HOXA4	15.0100647788809	SP13	groupB
2217	HOXA	4	HOXA4	25.6710293598764	SP15	groupA
645	HOXA	4	HOXA4	7.83092144595087	SP16	others
2208	HOXA	4	HOXA4	19.3945044494621	SP17	others
3	HOXA	4	HOXA4	0.322920162725928	SP18B5	others
51	HOXA	4	HOXA4	0.918994557966501	SP18T5	others
7	HOXA	4	HOXA4	0.601730542656076	SP19T5	others
330	HOXA	4	HOXA4	5.41914758253633	SP204	others
1	HOXA	4	HOXA4	0.107183525634869	SP20B5	others
86	HOXA	4	HOXA4	8.0964517112086	SP20T5	groupB
6	HOXA	4	HOXA4	0.157898281242997	SP21B5	others
156	HOXA	4	HOXA4	3.16012287935244	SP21T5	groupB
1815	HOXA	4	HOXA4	15.9265545576455	SP22	groupB
9999	HOXA	4	HOXA4	62.5319054053807	SP24	groupA
141	HOXA	4	HOXA4	2.17687804131863	SP26	others
500	HOXA	4	HOXA4	3.63420837899595	SP28	others
234	HOXA	4	HOXA4	3.17056690657651	SP31	others
2727	HOXA	4	HOXA4	26.3744436341581	SP41	groupA
244	HOXA	4	HOXA4	4.7293427204067	X172017	groupA
219	HOXA	4	HOXA4	4.12802899075176	X177793	groupB
619	HOXA	4	HOXA4	13.3582281214613	X747347	groupB
1661	HOXA	5	HOXA5	20.5584461151617	SP04	groupA
1158	HOXA	5	HOXA5	16.8583716839452	SP05	groupB
9085	HOXA	5	HOXA5	88.9980432773631	SP07	others
669	HOXA	5	HOXA5	9.66358419997916	SP08	others
6366	HOXA	5	HOXA5	56.514408097998	SP09	others
1325	HOXA	5	HOXA5	22.55172207673	SP11	groupB
1159	HOXA	5	HOXA5	14.0587869571575	SP12	others
3644	HOXA	5	HOXA5	38.2761903808551	SP13	groupB
1279	HOXA	5	HOXA5	14.8097638932259	SP15	groupA
913	HOXA	5	HOXA5	11.0846996591522	SP16	others
9417	HOXA	5	HOXA5	82.7165074278009	SP17	others
1	HOXA	5	HOXA5	0.107640054241976	SP18B5	others
175	HOXA	5	HOXA5	3.15341269890466	SP18T5	others
21	HOXA	5	HOXA5	1.80519162796823	SP19T5	others
1102	HOXA	5	HOXA5	18.0966685938031	SP204	others
1	HOXA	5	HOXA5	0.107183525634869	SP20B5	others
68	HOXA	5	HOXA5	6.40184553909518	SP20T5	groupB
49	HOXA	5	HOXA5	1.28950263015115	SP21B5	others
1045	HOXA	5	HOXA5	21.1687718520725	SP21T5	groupB
2323	HOXA	5	HOXA5	20.3842348415485	SP22	groupB
20777	HOXA	5	HOXA5	129.935533414101	SP24	groupA
116	HOXA	5	HOXA5	1.79090675739688	SP26	others
312	HOXA	5	HOXA5	2.26774602849347	SP28	others
228	HOXA	5	HOXA5	3.08927031922839	SP31	others
1952	HOXA	5	HOXA5	18.8789563527234	SP41	groupA
419	HOXA	5	HOXA5	8.12128934364922	X172017	groupA
380	HOXA	5	HOXA5	7.16279002961493	X177793	groupB
567	HOXA	5	HOXA5	12.2360506379137	X747347	groupB
268	HOXA	6	HOXA6	3.31707619437888	SP04	groupA
350	HOXA	6	HOXA6	5.09536277148602	SP05	groupB
2416	HOXA	6	HOXA6	23.6675038589003	SP07	others
84	HOXA	6	HOXA6	1.21336483228438	SP08	others
2643	HOXA	6	HOXA6	23.4633334280567	SP09	others
516	HOXA	6	HOXA6	8.78240648422091	SP11	groupB
528	HOXA	6	HOXA6	6.40469328160411	SP12	others
598	HOXA	6	HOXA6	6.2813287178242	SP13	groupB
556	HOXA	6	HOXA6	6.43802089494419	SP15	groupA
431	HOXA	6	HOXA6	5.23275526078267	SP16	others
1104	HOXA	6	HOXA6	9.69725222473105	SP17	others
1	HOXA	6	HOXA6	0.107640054241976	SP18B5	others
37	HOXA	6	HOXA6	0.666721542054128	SP18T5	others
5	HOXA	6	HOXA6	0.429807530468626	SP19T5	others
213	HOXA	6	HOXA6	3.49781343963708	SP204	others
0	HOXA	6	HOXA6	0	SP20B5	others
37	HOXA	6	HOXA6	3.48335713156649	SP20T5	groupB
4	HOXA	6	HOXA6	0.105265520828665	SP21B5	others
149	HOXA	6	HOXA6	3.01832249374048	SP21T5	groupB
1222	HOXA	6	HOXA6	10.7230025726958	SP22	groupB
3400	HOXA	6	HOXA6	21.262974135243	SP24	groupA
29	HOXA	6	HOXA6	0.447726689349221	SP26	others
88	HOXA	6	HOXA6	0.639620674703287	SP28	others
98	HOXA	6	HOXA6	1.32784426001922	SP31	others
742	HOXA	6	HOXA6	7.176324597193	SP41	groupA
193	HOXA	6	HOXA6	3.74083256163317	X172017	groupA
224	HOXA	6	HOXA6	4.22227622798354	X177793	groupB
244	HOXA	6	HOXA6	5.26560203818507	X747347	groupB
3612	HOXA	7	HOXA7	44.7062657242408	SP04	groupA
2213	HOXA	7	HOXA7	32.2172508951388	SP05	groupB
13596	HOXA	7	HOXA7	133.188486119871	SP07	others
786	HOXA	7	HOXA7	11.3536280735181	SP08	others
9032	HOXA	7	HOXA7	80.1819249043541	SP09	others
1858	HOXA	7	HOXA7	31.6234714102373	SP11	groupB
1629	HOXA	7	HOXA7	19.7599343858581	SP12	others
4155	HOXA	7	HOXA7	43.6436803052835	SP13	groupB
5208	HOXA	7	HOXA7	60.3043396058801	SP15	groupA
1398	HOXA	7	HOXA7	16.9730669479679	SP16	others
1937	HOXA	7	HOXA7	17.0141101080652	SP17	others
5	HOXA	7	HOXA7	0.538200271209881	SP18B5	others
486	HOXA	7	HOXA7	8.75747755238665	SP18T5	others
79	HOXA	7	HOXA7	6.79095898140429	SP19T5	others
194	HOXA	7	HOXA7	3.18580191215772	SP204	others
10	HOXA	7	HOXA7	1.07183525634869	SP20B5	others
635	HOXA	7	HOXA7	59.7819399606682	SP20T5	groupB
92	HOXA	7	HOXA7	2.42110697905929	SP21B5	others
1409	HOXA	7	HOXA7	28.5423919038948	SP21T5	groupB
2956	HOXA	7	HOXA7	25.9387852740497	SP22	groupB
16508	HOXA	7	HOXA7	103.237993242527	SP24	groupA
275	HOXA	7	HOXA7	4.24568412313917	SP26	others
652	HOXA	7	HOXA7	4.73900772621072	SP28	others
684	HOXA	7	HOXA7	9.26781095768518	SP31	others
5560	HOXA	7	HOXA7	53.7740764964866	SP41	groupA
255	HOXA	7	HOXA7	4.94255079386766	X172017	groupA
193	HOXA	7	HOXA7	3.63794335714653	X177793	groupB
247	HOXA	7	HOXA7	5.33034304685128	X747347	groupB
21	HOXA	9	HOXA9	0.259920149559539	SP04	groupA
1732	HOXA	9	HOXA9	25.2147666291823	SP05	groupB
